GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	DAY	MONTH	YEAR	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1893NIG           	36529	08 February 2008	8	2	2008	1	Violence against civilians	Military Forces of Nigeria (2007-2010)		1	Civilians (Nigeria)	Agege Ethnic Group (Nigeria)	7	17	Nigeria	Lagos	Ikeja		Agege	6.614260	3.324370	1	Africa Research Bulletin	Military Forces of Nigeria raid the village of Agege in an attempt to recover stolen equipment. In the process	4
475	1894NIG           	36530	08 February 2008	8	2	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Reuters News	"A turf war develops between two militant groups killing at least four. """	4
475	1895NIG           	36543	10 February 2008	10	2	2008	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Delta	Warri South		Warri	5.516670	5.750000	1	Platts Oilgram News	MEND disrupts oil supply in a flow station outside of Warri.	0
475	1896NIG           	36557	12 February 2008	12	2	2008	1	Violence against civilians	Police Forces of Nigeria (2007-2010)		1	Civilians (Nigeria)		7	17	Nigeria	Ondo	Idanre		Idanre	7.100000	5.100000	1	Vanguard (Nigeria)	Five bystanders are killed when Police open fire on a mob protesters in Idanre.	5
475	1898NIG           	36618	18 February 2008	18	2	2008	1	Violence against civilians	Civilians (International)		7	MEND: Movement for the Emancipation of the Niger Delta		2	27	Nigeria	Delta	Burutu		Forcados	5.358860	5.438270	1	AFP	MEND kidnaps 9 expatriates from oil facility.	0
475	1897NIG           	36617	18 February 2008	18	2	2008	1	Battle-Government regains territory	Military Forces of Nigeria (2007-2010) Joint Task Force		1	MEND: Movement for the Emancipation of the Niger Delta		2	12	Nigeria	Delta	Burutu		Forcados	5.358860	5.438270	1	AFP	MEND exchanges fire with Nigerian security forces while attacking oil facility.	0
475	1899NIG           	36626	19 February 2008	19	2	2008	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Unidentified Armed Group (Nigeria)		3	23	Nigeria	Plateau	Jos North		Jos	9.916670	8.900000	1	Platts Oilgram News	MEND leader assassinated	1
475	1900NIG           	36644	22 February 2008	22	2	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Eket		Eket	4.650000	7.933330	1	Vanguard (Nigeria)	Gunmen kill unionist.	1
475	1901NIG           	36665	24 February 2008	24	2	2008	3	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Vanguard (Nigeria)	Militants kill a hostage despite paying ransom.	1
475	1902NIG           	36690	27 February 2008	27	2	2008	1	Violence against civilians	Police Forces of Nigeria (2007-2010)		1	Civilians (Nigeria)		7	17	Nigeria	Kogi	Lokoja		Kogi State	7.750000	6.750000	2	All Africa	Police kill 20 rioters in a seeming reprisal attack over a former riot.	20
475	1903NIG           	36691	27 February 2008	27	2	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Asari-To		Rivers	4.750000	6.833330	3	All Africa	Sea pirates kill a member of the Nigerian Navy in Rivers State.	1
475	1904NIG           	36704	28 February 2008	28	2	2008	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Bonny		Bonny River	4.383330	7.100000	2	All Africa	A suspected pirate was shot and killed by members of the Nigerian Navy.	1
475	1908NIG           	36729	02 March 2008	2	3	2008	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Bayelsa	Nembe		Nembe	4.533330	6.383330	2	BBC Monitoring Africa	Militants kill three Naval Officers while attacking a oil facility.	3
475	1907NIG           	36728	02 March 2008	2	3	2008	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.750000	6.083330	2	Reuters News	Soldiers and Militants engage in a gun battle near an oil pipeline.	0
475	1905NIG           	36726	02 March 2008	2	3	2008	1	Violence against civilians	Muslim Militia (Nigeria)		4	Civilians (Nigeria)		7	47	Nigeria	Bauchi	Bauchi		Bauchi	10.315830	9.844170	2	Trend News Agency	Religious violence sparks and group is accused of desecrating the Koran.	0
475	1906NIG           	36727	02 March 2008	2	3	2008	1	Riots/Protests	Rioters (Nigeria)	Muslim Group (Nigeria)	5			0	50	Nigeria	Bauchi	Bauchi		Bauchi	10.315830	9.844170	2	Trend News Agency	Religious violence sparks and group is accused of desecrating the Koran.	0
475	1909NIG           	36756	05 March 2008	5	3	2008	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.750000	6.083330	2	Reuters News	MEND disrupts oil supply in a flow station attack in Bayelsa State.	0
475	1910NIG           	36772	06 March 2008	6	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Vanguard (Nigeria)	Armed group kills three	3
475	1911NIG           	36787	07 March 2008	7	3	2008	2	Battle-No change of territory	Ezza Ethnic Militia (Nigeria)		4	Ezillo Ethnic Militia (Nigeria)		4	44	Nigeria	Ebonyi	Ebonyi		Abakaliki	6.333330	8.100000	1	All Africa	Ezza people and Ezilo aborigines clash in Abakiliki over economic reasons.	0
475	1914NIG           	36819	09 March 2008	9	3	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Nembe		Nembe	4.533330	6.383330	1	All Africa	The JTF and unidentified militiants become involved in a firefight that lasts four hours. No reported deaths.	0
475	1912NIG           	36817	09 March 2008	9	3	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	EthiopeE		Isiokolo	5.633330	6.033330	1	Vanguard (Nigeria)	Robbers kill a cleric (Rev. Fr. John Mark Ikpiki) and three policemen in Delta State.	3
475	1913NIG           	36818	09 March 2008	9	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Delta	EthiopeE		Isiokolo	5.633330	6.033330	1	Vanguard (Nigeria)	Robbers kill a cleric (Rev. Fr. John Mark Ikpiki) and three policemen in Delta State.	1
475	1916NIG           	36863	12 March 2008	12	3	2008	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Agence France Presse	One cultist is killed as the military raided a community in the oil region.	1
475	1915NIG           	36862	12 March 2008	12	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Uyo		Akwa Ibom State	5.000000	7.833330	2	Reuters News	Gunmen attack an ExxonMobil station in Eket	0
475	1917NIG           	36950	17 March 2008	17	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Ogun	Obafemi-Owode		Ogun	7.000000	3.583330	2	The Sentinel	A British oil worker was shot dead in Ogun State.	1
475	1918NIG           	36962	19 March 2008	19	3	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.449200	7.240000	1	Reuters News	Gunmen kill a Nigerian Sailor near Bonny Island in the Nigerian Delta.	1
475	1919NIG           	36986	24 March 2008	24	3	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	Ughelli North		Delta	5.500000	6.000000	2	Associated Press Newswires	As an attack from armed men in a speedboat seemed imminent	0
475	1920NIG           	36989	25 March 2008	25	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Lagos	LagosIsland		Lagos	6.453060	3.395830	2	Agence France Presse	Gunmen attack a car carrying a Briton and an American	0
475	1921NIG           	37034	30 March 2008	30	3	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Ondo	Akure North		Akure	7.250000	5.200000	1	Vanguard (Nigeria)	In Akute	0
475	1922NIG           	37073	03 April 2008	3	4	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Delta	Ndokwa East		Niger Delta	5.326111	6.470833	2	Reuters News	A German worker is kidnapped in the Niger Delta by militants. Three Nigerians killed.	3
475	1923NIG           	37090	05 April 2008	5	4	2008	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Cross River	Biase		Edu	5.750000	7.933330	1	All Africa	bystanders in Ezillo suffer the effects of two rival groups clashing.	0
475	1924NIG           	37130	07 April 2008	7	4	2008	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Kaduna	Kachia		Kachia	9.866670	7.950000	1	The Punch	Nigeria's military stages demonstration of firepower	0
475	1925NIG           	37131	07 April 2008	7	4	2008	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Zamfara	Zurmi		Zurmi	12.775830	6.786390	1	All Africa	Robbers attack a village in Zamfara State and kill the village head	1
475	1926NIG           	37158	09 April 2008	9	4	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Niger	Rafi		Niger State	10.000000	6.000000	2	All Africa	Youths attack a lawmaker's boat	0
475	1927NIG           	37162	10 April 2008	10	4	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Reuters News	Militants ouside Port Harcourt kidnap six Filipino workers on an oil service vessel.	0
475	1928NIG           	37172	11 April 2008	11	4	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Lagos	LagosIsland		Lagos	6.453060	3.395830	2	Vanguard (Nigeria)	Mr. Bede Uwazie was shot dead by robbers in his shop in Lagos State.	1
475	1929NIG           	37176	12 April 2008	12	4	2008	1	Battle-No change of territory	Fulani Ethnic Militia (Nigeria)		4	Unidentified Ethnic Militia (Nigeria)		4	44	Nigeria	Katsina	Katsina (K)		Katsina	12.989430	7.600630	2	All Africa	Four were killed as farmers and herdsmen clash over land in Katsina State.	4
475	1930NIG           	37177	12 April 2008	12	4	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Delta	Ndokwa East		Niger Delta	5.326111	6.470833	1	Reuters News	Militants attack an oil facility in the Niger Delta and kidnap a Russian	0
475	1931NIG           	37258	17 April 2008	17	4	2008	1	Battle-No change of territory	ANPP: All Nigeria People's Party		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Bauchi	Toro		Toro	10.054520	9.060430	1	All Africa	Two groups of ANPP supporters clash	0
475	1932NIG           	37259	17 April 2008	17	4	2008	1	Battle-No change of territory	ANPP: All Nigeria People's Party		3	ANPP: All Nigeria People's Party		3	33	Nigeria	Bauchi	Toro		Toro	10.054520	9.060430	1	All Africa	Two groups of ANPP supporters clash	0
475	1933NIG           	37260	17 April 2008	17	4	2008	1	Violence against civilians	ANPP: All Nigeria People's Party		3	Civilians (Nigeria)		7	37	Nigeria	Bauchi	Toro		Toro	10.054520	9.060430	1	All Africa	Two groups of ANPP supporters clash	0
475	1934NIG           	37274	18 April 2008	18	4	2008	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Delta	Ughelli North		Delta	5.500000	6.000000	2	Reuters News	MEND rebels destroy a Royal Dutch Pipeline; shut down production.	0
475	1935NIG           	37332	24 April 2008	24	4	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.449200	7.240000	1	Agence France Presse	Unidentified Gunmen kill five police on Bonny Island.	5
475	1936NIG           	37352	26 April 2008	26	4	2008	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Adamawa	Michika		Michika	10.615920	13.384900	1	Vanguard (Nigeria)	At least one killed in heavy turnout election scuffle.	1
475	1937NIG           	37366	28 April 2008	28	4	2008	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.449200	7.240000	1	Cape Times	Gunmen storm a police station on Bonny Island	0
475	1939NIG           	37402	01 May 2008	1	5	2008	2	Violence against civilians	Civilians (Nigeria)		7	Police Forces of Nigeria (2007-2010)		1	17	Nigeria	Ondo	AkokoNorthWest		Oke Agbe	7.644840	5.761520	2	All Africa	Police kill 2 students protesting police extortion.	2
475	1938NIG           	37401	01 May 2008	1	5	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Lagos	LagosIsland		Lagos City	6.453060	3.395830	1	All Africa	Union leader shot dead by assassins.	1
475	1941NIG           	37477	07 May 2008	7	5	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Bayelsa	Yenegoa		Yenagoa	4.924720	6.264170	1	Vanguard (Nigeria)	A cult group burn two children and their grandmother to death in Yenagoa.	3
475	1940NIG           	37476	07 May 2008	7	5	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Anambra	Oyi		Nkpor	6.150000	6.833330	1	Vanguard (Nigeria)	Five members of a civilian group have been killed over a land dispute.	5
475	1942NIG           	37486	08 May 2008	8	5	2008	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Anambra	OrumbaSo		Umunze	5.966670	7.233330	1	Vanguard (Nigeria)	Militants attack Mr. Joseph Mbachu	0
475	1943NIG           	37493	09 May 2008	9	5	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010) Joint Task Force		1	13	Nigeria	Bayelsa	Nembe		Nembe	4.533330	6.383330	1	BBC Monitoring Africa	Militants exchange gunfire with JTF in Nembe.	0
475	1944NIG           	37494	09 May 2008	9	5	2008	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Bonny		River Sombrero	4.449200	7.240000	2	Lloyd's List	Militants attack a seafarer in the River Sombrero	0
475	1945NIG           	37536	13 May 2008	13	5	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.750000	6.083330	2	Agence France Presse	Gunmen dressed as military kill two police in Bayelsa State.	2
475	1946NIG           	37564	14 May 2008	14	5	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Edo	EsanNort		Uromi	6.700000	6.333330	1	Vanguard (Nigeria)	The factional chairman of the PDP narrowly escapes death from the hand of armed youths.	0
475	1948NIG           	37722	21 May 2008	21	5	2008	2	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (International)		7	27	Nigeria	Bayelsa	Sagbama		Niger Delta	4.833330	6.000000	2	AFX Asia	MEND attacks oil facility	0
475	1947NIG           	37721	21 May 2008	21	5	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Oyo	Akinyele		Eni	7.536390	3.935280	1	Press Association National Newswire	As the Nigerian Navy attempted to rescue a kidnapped British oil worker the worker was killed in the firefight.	1
475	1949NIG           	37736	22 May 2008	22	5	2008	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Rivers	Asari-To		Rivers	4.750000	6.833330	2	Dow Jones International News	MEND attacks an oil station	0
475	1950NIG           	37891	02 June 2008	2	6	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Dow Jones International News	Militants kill a Port Harcourt Policeman and kidnap his wife.	0
475	1951NIG           	37892	02 June 2008	2	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Dow Jones International News	Militants kill a Port Harcourt Policeman and kidnap his wife.	1
475	1952NIG           	37900	04 June 2008	4	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Agence France Presse	Gunmen kill two and kidnap a toddler in Port Harcourt.	2
475	1954NIG           	38019	11 June 2008	11	6	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Ekeremor		Clough Creek	4.816670	5.583330	1	Reuters News	Gunmen in boats attack the military as well as civilians in Clough Creek	0
475	1956NIG           	38021	11 June 2008	11	6	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	Ndokwa East		Niger Delta	5.326111	6.470833	2	AFX Asia	Gunmen in a boat attack Naval personnel on an oil facility	0
475	1953NIG           	38018	11 June 2008	11	6	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Anambra	Anambra East		Asaba	6.183330	6.750000	1	Vanguard (Nigeria)	Police kill three armed robbers in Asaba.	0
475	1955NIG           	38020	11 June 2008	11	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Bayelsa	Ekeremor		Clough Creek	4.816670	5.583330	1	Reuters News	Gunmen in boats attack the military as well as civilians in Clough Creek	0
475	1957NIG           	38086	15 June 2008	15	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Eket		Eket	4.650000	7.933330	1	Vanguard (Nigeria)	Unidentified gunmen kill a oil worker in Eket.	1
475	1959NIG           	38185	19 June 2008	19	6	2008	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010) Joint Task Force		1	12	Nigeria	Delta	Ndokwa East		Niger Delta	5.326111	6.470833	2	All Africa	MEND rebels attack offshore oil facility in Niger Delta.	0
475	1958NIG           	38184	19 June 2008	19	6	2008	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Bauchi	Alkaleri		Bonga Off-Shore Oil Platform	10.058290	10.379840	1	Africa Research Bulletin	Members of MEND attack the Bonoga oil platform	0
475	1960NIG           	38236	22 June 2008	22	6	2008	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	MEND: Movement for the Emancipation of the Niger Delta		2	23	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.750000	6.083330	2	Agence France Presse	Clashes between two rival militant gangs are ongoing.	0
475	1961NIG           	38336	28 June 2008	28	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Bonny		Bonny Island	4.449200	7.240000	1	Agence France Presse	Militants attack civilians on Bonny Island	0
475	1962NIG           	38356	29 June 2008	29	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Akukutor		Oloma	4.393770	6.723680	1	All Africa	Militants attack a houseboat owned and inhabited by employees of the Shell Oil Company.	0
475	1963NIG           	38364	30 June 2008	30	6	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Benue	Makurdi		Makurdi	7.733330	8.533330	1	Vanguard (Nigeria)	"An armed gang attacked and killed David Yongo a History professor at Benue State University in his home.  """	1
475	1964NIG           	38387	03 July 2008	3	7	2008	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Lagos	Ikorodu		Majidun Ilaje	6.616670	3.466670	1	This Day (Nigeria)	Militants and Police trade gunfire.	0
475	1966NIG           	38451	07 July 2008	7	7	2008	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Daily Trust (Abuja)		0
475	1965NIG           	38450	07 July 2008	7	7	2008	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.750000	6.083330	2	All Africa	Militant Leader Prince Igodo is killed in militant clash in Bayelsa State.	1
475	1967NIG           	38475	09 July 2008	9	7	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.449200	7.240000	1	Agence France Presse	Militants hijack a vessel on Bonny Island	0
475	1969NIG           	38477	09 July 2008	9	7	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Bayelsa	Southern Ijaw		Ogbia	4.750000	6.083300	2	All Africa	Militants kill an oil worker and kidnap another in Ogbia area of Bayelsa State.	0
475	1968NIG           	38476	09 July 2008	9	7	2008	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Katsina	Funtua		Funtua	11.533330	7.316670	1	All Africa	Armed men attack a gas station in Funtua	0
